Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52524.0984,NA,17.62100000000000,18.87970000000000,1.76840000000000,4.73560000000000,5.7503,NA,52507.7367,18.1301,16.3617,1.7684,17.4870,3.6103,3.5238,0.0865,-1.7151,52507.7367,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52540.0369,NA,15.93850000000000,14.62950000000000,1.45460000000000,4.28120000000000,4.4413,NA,52525.8668,15.6247,14.1701,1.4546,14.7249,3.7264,3.6233,0.1031,3.5006,52525.8668,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52556.8128,NA,16.77590000000000,16.57640000000000,1.11770000000000,4.11320000000000,4.2418,NA,52541.4915,16.4390,15.3213,1.1177,15.8728,3.5617,3.5170,0.0447,-0.9517,52541.4915,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52573.2384,NA,16.42560000000000,16.34660000000000,1.10270000000000,4.04710000000000,4.1628,NA,52557.9305,16.4106,15.3079,1.1027,15.8731,3.4819,3.4346,0.0473,0.0924,52557.9305,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52589.8138,NA,16.57540000000000,16.63410000000000,0.95640000000000,4.04490000000000,4.2215,NA,52574.3411,16.4291,15.4727,0.9564,15.9791,3.5385,3.4952,0.0433,-0.2235,52574.3411,14.1412,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52606.8066,NA,16.99280000000000,19.16720000000000,2.14090000000000,4.89570000000000,6.3959,NA,52590.7702,18.1773,16.0364,2.1409,17.1619,3.7702,3.7027,0.0675,-2.7381,52590.7702,9.2952,25.2314
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52623.0557,NA,16.24910000000000,13.95830000000000,0.84320000000000,3.98950000000000,4.1051,NA,52608.9475,14.9514,14.1082,0.8432,14.5107,3.5870,3.5142,0.0728,4.2190,52608.9475,15.2626,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52640.2173,NA,17.16160000000000,17.32760000000000,0.90220000000000,4.14870000000000,4.2711,NA,52623.8989,17.2206,16.3184,0.9022,16.7200,3.7471,3.6914,0.0557,-2.3762,52623.8989,16.5355,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52656.6915,NA,16.47420000000000,16.34250000000000,0.78810000000000,4.01620000000000,4.1394,NA,52641.1195,16.3601,15.5720,0.7881,15.9376,3.6506,3.6083,0.0423,0.8781,52641.1195,16.9036,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52673.4499,NA,16.75840000000000,16.68300000000000,0.85730000000000,3.93720000000000,4.0640,NA,52657.4796,16.8276,15.9703,0.8573,16.3531,3.5544,3.5008,0.0536,-0.3229,52657.4796,9.3376,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52690.0067,NA,16.55680000000000,16.75370000000000,1.18320000000000,4.10710000000000,4.2609,NA,52674.3072,16.8827,15.6995,1.1832,16.2501,3.5565,3.4856,0.0709,0.0739,52674.3072,18.3171,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52706.8307,NA,16.82400000000000,17.18710000000000,1.83450000000000,4.50000000000000,4.6240,NA,52691.1899,17.4753,15.6408,1.8345,16.3814,3.7594,3.7104,0.0490,-0.3044,52691.1899,19.5575,NA
